TransactionID,UserID,CourseID,TransactionDate
T000001,U00208,C0087,2025-08-24
T000002,U00011,C0026,2025-01-20
T000003,U00987,C0096,2025-09-02
T000004,U00095,C0086,2025-06-19
T000005,U00542,C0050,2025-11-22
T000006,U00863,C0007,2025-09-05
T000007,U00274,C0120,2025-12-11
T000008,U00099,C0033,2024-09-10
T000009,U00962,C0076,2026-03-27
T000010,U00788,C0066,2025-04-25
T000011,U01194,C0018,2025-10-13
T000012,U00440,C0078,2026-05-30
T000013,U00078,C0034,2025-11-20
T000014,U00940,C0048,2025-05-23
T000015,U00659,C0098,2024-07-21
T000016,U00244,C0038,2025-12-05
T000017,U00973,C0065,2024-03-25
T000018,U00233,C0048,2025-06-18
T000019,U00304,C0103,2024-06-20
T000020,U00101,C0097,2024-04-28
T000021,U00523,C0028,2024-08-09
T000022,U00550,C0106,2024-06-30
T000023,U00650,C0094,2025-02-24
T000024,U00897,C0120,2026-02-03
T000025,U01071,C0082,2026-03-04
T000026,U00169,C0072,2026-02-07
T000027,U00070,C0030,2024-03-30
T000028,U00026,C0070,2025-01-31
T000029,U00179,C0047,2025-04-24
T000030,U00836,C0037,2025-07-24
T000031,U00930,C0004,2026-06-02
T000032,U00980,C0105,2026-05-02
T000033,U00280,C0038,2025-04-29
T000034,U00383,C0115,2026-04-02
T000035,U00608,C0089,2025-01-06
T000036,U00078,C0064,2025-12-23
T000037,U00759,C0026,2025-07-24
T000038,U01186,C0094,2025-10-06
T000039,U00470,C0052,2025-06-16
T000040,U00947,C0119,2025-07-02
T000041,U00625,C0088,2025-10-23
T000042,U00156,C0094,2025-10-14
T000043,U00724,C0051,2025-03-07
T000044,U00365,C0053,2024-01-31
T000045,U00053,C0028,2024-05-20
T000046,U00800,C0107,2024-09-07
T000047,U01046,C0016,2024-04-19
T000048,U00441,C0077,2024-01-06
T000049,U00510,C0065,2024-04-18
T000050,U01059,C0102,2026-05-23
T000051,U01000,C0112,2025-02-06
T000052,U00899,C0070,2025-06-30
T000053,U00287,C0035,2025-02-08
T000054,U01081,C0007,2025-12-25
T000055,U00191,C0028,2025-02-23
T000056,U00782,C0052,2025-05-25
T000057,U00037,C0098,2025-09-22
T000058,U00813,C0075,2025-04-24
T000059,U00336,C0010,2025-01-01
T000060,U00582,C0117,2026-06-25
T000061,U00442,C0081,2024-07-26
T000062,U00203,C0012,2025-01-12
T000063,U00769,C0097,2025-10-19
T000064,U01056,C0107,2025-07-14
T000065,U01135,C0015,2024-04-14
T000066,U00219,C0005,2025-05-31
T000067,U00907,C0023,2025-10-31
T000068,U00847,C0076,2024-10-16
T000069,U00438,C0018,2024-04-03
T000070,U00027,C0087,2025-02-14
T000071,U00883,C0030,2026-02-19
T000072,U01115,C0064,2025-04-16
T000073,U00792,C0083,2026-01-12
T000074,U00576,C0079,2025-02-04
T000075,U00663,C0040,2025-12-03
T000076,U00233,C0056,2025-10-03
T000077,U00947,C0107,2026-04-14
T000078,U00947,C0032,2024-06-20
T000079,U00181,C0025,2025-11-15
T000080,U01056,C0041,2024-06-06
T000081,U00321,C0011,2024-10-25
T000082,U01182,C0015,2024-05-22
T000083,U00502,C0075,2024-01-18
T000084,U00208,C0013,2026-02-08
T000085,U00451,C0095,2024-10-26
T000086,U00576,C0010,2025-10-04
T000087,U00081,C0040,2024-02-11
T000088,U00720,C0018,2024-05-05
T000089,U00739,C0063,2026-03-29
T000090,U00947,C0095,2025-05-12
T000091,U00039,C0047,2025-07-17
T000092,U00669,C0049,2024-08-12
T000093,U00066,C0075,2026-03-06
T000094,U00889,C0039,2026-02-05
T000095,U00071,C0048,2024-12-31
T000096,U01082,C0004,2025-09-25
T000097,U00892,C0091,2025-08-27
T000098,U00639,C0017,2024-04-04
T000099,U00576,C0065,2024-12-31
T000100,U00160,C0047,2026-05-31
T000101,U00358,C0080,2025-01-10
T000102,U01056,C0003,2024-02-01
T000103,U01068,C0078,2026-02-02
T000104,U00003,C0078,2025-01-04
T000105,U00735,C0004,2026-05-31
T000106,U00911,C0119,2025-05-15
T000107,U00767,C0008,2025-05-07
T000108,U00099,C0108,2025-09-11
T000109,U00253,C0084,2024-03-18
T000110,U00287,C0011,2024-04-26
T000111,U01012,C0109,2025-04-24
T000112,U00597,C0089,2024-04-15
T000113,U00608,C0105,2026-01-18
T000114,U01108,C0036,2026-03-07
T000115,U00803,C0025,2024-07-06
T000116,U01061,C0025,2026-04-08
T000117,U00584,C0104,2024-10-26
T000118,U00186,C0082,2025-09-07
T000119,U01102,C0091,2024-09-27
T000120,U00585,C0055,2025-08-31
T000121,U00208,C0003,2024-12-09
T000122,U00373,C0077,2024-08-18
T000123,U00066,C0111,2024-01-28
T000124,U00600,C0117,2024-07-16
T000125,U01036,C0006,2024-09-23
T000126,U01107,C0094,2025-11-16
T000127,U01105,C0024,2024-06-28
T000128,U00150,C0070,2025-02-21
T000129,U00502,C0089,2024-01-22
T000130,U00037,C0069,2025-10-27
T000131,U01041,C0119,2025-09-10
T000132,U00467,C0022,2024-04-08
T000133,U00791,C0073,2025-04-21
T000134,U00899,C0102,2025-10-23
T000135,U00569,C0070,2025-01-02
T000136,U00384,C0045,2024-07-25
T000137,U01141,C0002,2025-06-07
T000138,U01149,C0024,2024-07-08
T000139,U00357,C0013,2024-06-21
T000140,U00608,C0004,2025-09-06
T000141,U01170,C0044,2025-05-26
T000142,U00006,C0069,2026-06-04
T000143,U00537,C0007,2025-01-15
T000144,U00115,C0028,2025-03-10
T000145,U00639,C0111,2025-10-21
T000146,U00034,C0075,2025-02-05
T000147,U00524,C0091,2024-01-30
T000148,U00255,C0067,2025-05-19
T000149,U00669,C0039,2024-07-02
T000150,U01196,C0091,2024-02-19
T000151,U00980,C0007,2025-02-05
T000152,U01025,C0024,2025-11-10
T000153,U00801,C0072,2025-12-04
T000154,U00058,C0030,2025-11-05
T000155,U00237,C0104,2024-11-10
T000156,U01099,C0045,2026-03-30
T000157,U00478,C0005,2024-11-15
T000158,U00120,C0012,2024-01-27
T000159,U00892,C0012,2025-01-27
T000160,U00364,C0092,2024-09-20
T000161,U00320,C0096,2025-02-02
T000162,U01199,C0114,2026-05-19
T000163,U01045,C0092,2026-04-29
T000164,U00525,C0082,2026-03-26
T000165,U01178,C0037,2024-11-10
T000166,U00822,C0090,2025-01-21
T000167,U00947,C0101,2026-03-10
T000168,U00043,C0034,2026-01-20
T000169,U00145,C0017,2024-10-31
T000170,U00794,C0056,2024-07-25
T000171,U01062,C0066,2025-06-11
T000172,U00774,C0024,2025-12-25
