CourseID,CourseName,CourseCategory,CourseType,CourseLevel
C0001,Python for Data Analysis,Data Science,Instructor-Led,Beginner
C0002,SQL for Analytics,Data Science,Self-Paced,Intermediate
C0003,SQL for Analytics,Data Science,Instructor-Led,Advanced
C0004,Machine Learning Foundations,Data Science,Self-Paced,Advanced
C0005,SQL for Analytics,Data Science,Self-Paced,Beginner
C0006,Data Visualization Masterclass,Data Science,Instructor-Led,Intermediate
C0007,Machine Learning Foundations,Data Science,Instructor-Led,Intermediate
C0008,Data Visualization Masterclass,Data Science,Self-Paced,Beginner
C0009,Machine Learning Foundations,Data Science,Instructor-Led,Intermediate
C0010,Machine Learning Foundations,Data Science,Self-Paced,Beginner
C0011,Python for Data Analysis,Data Science,Self-Paced,Advanced
C0012,SQL for Analytics,Data Science,Self-Paced,Beginner
C0013,Data Visualization Masterclass,Data Science,Self-Paced,Beginner
C0014,Python for Data Analysis,Data Science,Self-Paced,Advanced
C0015,Machine Learning Foundations,Data Science,Instructor-Led,Beginner
C0016,Java Programming Basics,Programming,Instructor-Led,Intermediate
C0017,C++ Fundamentals,Programming,Cohort-Based,Beginner
C0018,C++ Fundamentals,Programming,Self-Paced,Intermediate
C0019,Java Programming Basics,Programming,Self-Paced,Intermediate
C0020,Java Programming Basics,Programming,Self-Paced,Beginner
C0021,C++ Fundamentals,Programming,Cohort-Based,Beginner
C0022,Java Programming Basics,Programming,Cohort-Based,Intermediate
C0023,C++ Fundamentals,Programming,Cohort-Based,Intermediate
C0024,Full-Stack Web Development,Programming,Self-Paced,Intermediate
C0025,Intro to Algorithms,Programming,Instructor-Led,Intermediate
C0026,Full-Stack Web Development,Programming,Self-Paced,Beginner
C0027,Java Programming Basics,Programming,Self-Paced,Advanced
C0028,Full-Stack Web Development,Programming,Self-Paced,Beginner
C0029,C++ Fundamentals,Programming,Instructor-Led,Intermediate
C0030,Java Programming Basics,Programming,Cohort-Based,Intermediate
C0031,Business Strategy 101,Business,Instructor-Led,Intermediate
C0032,Entrepreneurship Essentials,Business,Instructor-Led,Beginner
C0033,Operations Management,Business,Self-Paced,Beginner
C0034,Operations Management,Business,Instructor-Led,Beginner
C0035,Operations Management,Business,Self-Paced,Beginner
C0036,Business Strategy 101,Business,Cohort-Based,Advanced
C0037,Business Analytics,Business,Cohort-Based,Beginner
C0038,Business Analytics,Business,Self-Paced,Beginner
C0039,Business Analytics,Business,Instructor-Led,Intermediate
C0040,Business Analytics,Business,Self-Paced,Beginner
C0041,Business Strategy 101,Business,Self-Paced,Beginner
C0042,Entrepreneurship Essentials,Business,Cohort-Based,Advanced
C0043,Business Strategy 101,Business,Instructor-Led,Beginner
C0044,Operations Management,Business,Instructor-Led,Beginner
C0045,Business Strategy 101,Business,Self-Paced,Beginner
C0046,UI/UX Design Principles,Design,Instructor-Led,Intermediate
C0047,Graphic Design Basics,Design,Self-Paced,Beginner
C0048,Figma for Beginners,Design,Instructor-Led,Intermediate
C0049,UI/UX Design Principles,Design,Self-Paced,Beginner
C0050,Graphic Design Basics,Design,Self-Paced,Intermediate
C0051,Figma for Beginners,Design,Instructor-Led,Intermediate
C0052,Figma for Beginners,Design,Instructor-Led,Beginner
C0053,Design Thinking Workshop,Design,Self-Paced,Beginner
C0054,Graphic Design Basics,Design,Cohort-Based,Beginner
C0055,Graphic Design Basics,Design,Instructor-Led,Intermediate
C0056,Design Thinking Workshop,Design,Self-Paced,Beginner
C0057,UI/UX Design Principles,Design,Self-Paced,Beginner
C0058,Figma for Beginners,Design,Self-Paced,Intermediate
C0059,UI/UX Design Principles,Design,Self-Paced,Advanced
C0060,Figma for Beginners,Design,Self-Paced,Intermediate
C0061,Social Media Marketing,Marketing,Instructor-Led,Advanced
C0062,Digital Marketing Fundamentals,Marketing,Instructor-Led,Advanced
C0063,Digital Marketing Fundamentals,Marketing,Self-Paced,Beginner
C0064,Social Media Marketing,Marketing,Instructor-Led,Intermediate
C0065,Brand Management,Marketing,Instructor-Led,Beginner
C0066,Social Media Marketing,Marketing,Self-Paced,Intermediate
C0067,Digital Marketing Fundamentals,Marketing,Cohort-Based,Intermediate
C0068,Digital Marketing Fundamentals,Marketing,Self-Paced,Advanced
C0069,Social Media Marketing,Marketing,Self-Paced,Beginner
C0070,Brand Management,Marketing,Instructor-Led,Intermediate
C0071,Brand Management,Marketing,Cohort-Based,Beginner
C0072,Brand Management,Marketing,Instructor-Led,Advanced
